Note,Duration,Volume
G,1.0,59.44961950059453
F,1.0,55.79287923651427
F,1.0,53.66213626790391
F,1.0,53.749264492162304
F,1.0,55.79283703651893
F,1.0,55.90058578722808
F,1.0,53.82594491462855
F,1.0,55.42297370077639
F,1.0,55.21529186387198
F,1.0,54.79197271377834
F,1.0,54.74393656788915
F,1.0,55.044883814009154
F,1.0,54.479458083669456
F,1.0,55.80747720967103
F,1.0,53.251460834829366
F,1.0,53.12562993013297
F,1.0,51.28788413264632
F,1.0,52.07266159178694
F,1.0,52.11477431162715
F,1.0,54.654700131340675
F,1.0,54.876782658366565
F,1.0,56.45833473222821
F,1.0,53.975129669783094
F,1.0,53.21697543385171
F,1.0,54.48408275240338
F,1.0,59.57642189892207
F,1.0,59.405354192410215
F,1.0,59.174071211520676
F,1.0,59.497687743349424
F,1.0,57.38403332478453
F,1.0,58.690013289501294
F,1.0,58.75399034762537
F,1.0,57.679135910408554
F,1.0,55.636514187125506
F,1.0,54.64886506881786
F,1.0,54.95911516013461
F,1.0,56.26604718938705
F,1.0,54.305724161245955
F,1.0,52.7179975985638
F,1.0,54.81171558912903
F,1.0,55.6030018729648
E,1.0,53.76645795932325
E,1.0,53.2466767697963
E,1.0,53.767696797307906
E,1.0,52.658072128573984
E,1.0,51.46424770542383
E,1.0,51.404229597506855
E,1.0,49.61384583401335
F,1.0,49.96197213090548
F,1.0,49.521899893528555
F,1.0,48.50658918343397
F,1.0,48.618660713591815
F,1.0,48.464979793740724
F,1.0,48.88204456257335
F,1.0,48.86081520598727
F,1.0,48.6879924692826
F,1.0,47.59107069859255
F,1.0,49.8137035741764
F,1.0,49.80364575318831
F,1.0,49.24463547131099
F,1.0,49.36900274338828
F,1.0,48.580577821298945
F,1.0,52.281025739665665
F,1.0,54.83703822868822
G,1.0,67.22342818617736
G,1.0,65.07080168333684
F,1.0,65.4704625290465
F,1.0,66.01040163826133
F,1.0,64.66293958328475
F,1.0,65.00697819278325
F,1.0,64.65300540906017
F,1.0,64.38096830725948
F,1.0,63.518484957994296
F,1.0,63.28557774358257
F,1.0,63.03577638665454
F,1.0,64.98013845173425
F,1.0,64.85297304018712
F,1.0,65.26500244806603
F,1.0,63.31447634701919
F,1.0,63.96967891476844
F,1.0,63.264132490887754
F,1.0,62.43832956408881
F,1.0,62.11282075493693
F,1.0,62.581529108670814
F,1.0,62.67834129926247
F,1.0,62.296433634095735
F,1.0,62.20706577914559
F,1.0,62.858148329486376
F,1.0,64.39249970856356
F,1.0,65.66783979545048
F,1.0,64.44987468233428
F,1.0,64.52835754198628
F,1.0,63.177624793080135
F,1.0,61.81083416878444
F,1.0,62.40084213471357
F,1.0,65.15396683841988
G,1.0,64.7628666076022
G,1.0,63.67586222439828
F,1.0,61.62227320416871
F,1.0,60.959231579274594
F,1.0,63.09095451260171
F,1.0,64.23875544986127
F,1.0,62.66910898168224
F,1.0,63.1499961530391
F,1.0,61.90934827042192
F,1.0,62.41181502723959
F,1.0,61.55024068763454
F,1.0,61.472336271012566
F,1.0,61.38668458029268
F,1.0,60.92645609413008
F,1.0,60.330800284441956
F,1.0,60.80193781912289
F,1.0,61.83179252834705
F,1.0,61.27442847372797
F,1.0,61.44164300202839
F,1.0,61.45249784337041
F,1.0,59.57351553939055
F,1.0,61.505422233102514
F,1.0,62.59428124004259
F,1.0,61.983316002580175
F,1.0,61.51731264523249
F,1.0,62.35793822324808
G,1.0,62.760898595664976
G,1.0,62.98102974205933
G,1.0,62.89901405112184
G,1.25,63.23346475173502
G,1.25,65.47096500431326
F,1.0,60.75465664902505
G,1.25,68.13307659726594
F,1.25,69.92409751851594
F,1.0,68.57612459490336
F,1.0,67.78714675961547
F,1.0,66.17560910214263
F,1.0,67.03440632455916
F,1.0,66.9948566521337
F,1.0,65.98014579593233
F,1.0,65.6704856108119
F,1.0,64.63530266644905
F,1.0,65.92120860631212
F,1.0,67.40486294716064
F,1.0,66.82745210727968
F,1.0,65.11557879275372
F,1.0,65.2799948318606
F,1.0,65.40449231773566
F,1.0,64.32590605643765
F,1.0,63.227753219401116
F,1.0,63.87265603506563
F,1.0,64.83248369898891
F,1.0,64.89342115284481
F,1.0,64.91098991241363
F,1.0,65.69395141171807
F,1.0,65.17705894010398
F,1.0,67.96654165986646
F,1.0,67.3925903258648
F,1.0,68.00414177799539
F,1.0,67.87185555633272
F,1.0,66.47090865993643
F,1.0,65.57151096189565
F,1.0,65.36117005898673
F,1.0,65.94766100891407
F,1.0,66.17947490926613
F,1.0,64.90574568868372
F,1.0,64.94833667513775
F,1.0,64.97022495006723
F,1.0,65.39880421689088
F,1.0,65.69845705781323
F,1.0,66.16085732826622
F,1.0,66.51290974019413
F,1.0,65.24068949973964
F,1.0,66.88984783132437
F,1.0,66.1407898704468
F,1.0,65.02128671127586
F,1.0,65.41708334304789
F,1.0,65.07393283750282
F,1.0,66.14163029539996
F,1.0,66.26347419427542
F,1.0,66.35523936645606
F,1.0,66.34255337172522
F,1.0,66.18116236506492
F,1.0,65.020883946127
F,1.0,64.45220854413901
F,1.0,64.2061334157127
G,1.25,66.02034249609474
F,1.0,66.6956576360231
F,1.0,68.15380615980042
F,1.25,67.71322888251615
F,1.25,68.48410218149884
F,1.25,68.5527139726283
F,1.25,68.03028964895509
G,1.25,68.01368449480466
F,1.0,68.04472375712076
F,1.0,62.95641844054308
F,1.0,69.54971796725032
G,1.25,72.7379120328274
G,1.25,70.78685306940851
G,1.25,69.23292477831401
F,1.25,69.59679318893629
G,1.25,70.23919839437954
F,1.25,69.51010895836734
F,1.25,68.36656066152185
F,1.0,67.80523684067364
F,1.25,68.2069634655289
F,1.25,68.96379073309863
F,1.0,69.13689064527911
F,1.0,69.0272638393447
F,1.25,69.10301092692329
F,1.0,68.18949208458652
F,1.0,66.69078738352258
F,1.0,66.85206267049031
F,1.0,66.26190455651145
F,1.0,67.27954873982887
F,1.0,67.40404708058412
F,1.0,66.5749011059041
F,1.0,67.07388100067614
F,1.0,68.52661144917738
F,1.25,69.26516421471483
F,1.0,68.46647676668765
F,1.0,68.78515679280035
F,1.0,68.95927999658048
F,1.25,70.53073861649297
F,1.25,70.0276458930778
F,1.25,69.25787842049226
F,1.25,69.55322111087797
G,1.25,70.11845608635844
G,1.25,68.58802534331211
G,1.25,69.01141000831565
F,1.0,67.46135261476766
F,1.0,67.94975072470525
F,1.0,67.76696599131131
F,1.0,67.98392428870082
F,1.25,68.67035699019996
F,1.25,68.45445738422202
F,1.25,68.20793472601089
G,1.25,69.62795535971027
F,1.25,69.8183326338859
F,1.25,69.8604825410148
F,1.0,68.99816076410747
F,1.0,67.82654472966355
F,1.0,68.98541908558906
F,1.0,69.40043144249377
F,1.25,69.34407272699012
F,1.0,69.75053562130361
F,1.0,69.27492379908762
F,1.0,68.24886172701343
G,1.25,68.04802083576197
G,1.25,69.80114013817972
G,1.25,71.25517435670264
G,1.25,70.59400165535894
G,1.25,69.15337242467339
G,1.25,69.35670047329278
G,1.25,70.21093356803681
G,1.25,70.96560265168294
G,1.25,71.93217364948356
G,1.25,72.64319977773116
G,1.25,71.41448050484561
F,1.0,64.77375440069012
F,1.0,71.12748774024077
G,1.25,72.63941421277191
G,1.25,71.5535259922439
G,1.25,70.32764764169639
G,1.25,70.46741457026727
F,1.25,70.84503528323735
F,1.25,71.18589000800479
F,1.25,70.7912450552952
G,1.25,71.86313441825402
G,1.25,71.61970899100821
G,1.25,71.50148993961437
G,1.25,72.95030340475469
G,1.25,72.62574250231206
F,1.25,72.36893349809206
F,1.25,71.68990938269877
F,1.25,71.52640188695376
F,1.25,71.06547729515904
F,1.25,71.0201445913284
F,1.25,70.61039662555469
F,1.25,69.6972085829972
F,1.25,69.79628301974772
F,1.25,70.65856321839081
F,1.25,71.82950731699735
G,1.25,72.94855311526116
F,1.25,71.94504309373373
F,1.0,71.84999751307579
F,1.25,71.02119096469345
G,1.25,71.77629102453507
G,1.25,72.57768824850591
G,1.25,72.58861214085317
G,1.25,72.89848655118013
G,1.25,73.42973957240446
G,1.25,74.9190398141024
